1,Public Utilities,0.18,account
1,Public Utilities,0.0,science
2,Public Utilities,0.72,midstream
1,Public Utilities,0.0,control
1,Public Utilities,0.0,estate
1,Public Utilities,0.0,process
1,Public Utilities,0.28,choice
1,Public Utilities,0.57,scheduling
1,Public Utilities,0.57,gallon
1,Public Utilities,0.57,earpiece
2,Public Utilities,0.0,information
1,Public Utilities,0.36,recovery
1,Public Utilities,0.57,comfort
1,Public Utilities,0.0,stock
1,Public Utilities,0.57,gaming
1,Public Utilities,0.0,product
2,Public Utilities,0.57,collection
1,Public Utilities,0.18,accessory
1,Public Utilities,0.57,lumo
4,Public Utilities,0.0,data
1,Public Utilities,0.36,light
1,Public Utilities,0.57,headquarters
2,Public Utilities,0.36,coal
1,Public Utilities,0.36,responsibility
5,Public Utilities,1.43,wind
1,Public Utilities,0.57,miso
2,Public Utilities,0.0,office
1,Public Utilities,0.18,telecom
1,Public Utilities,0.57,meter
1,Public Utilities,0.57,buyer
1,Public Utilities,0.57,scott
1,Public Utilities,0.28,biomas
1,Public Utilities,0.28,style
1,Public Utilities,0.28,group
1,Public Utilities,0.57,cassella
2,Public Utilities,0.0,production
1,Public Utilities,0.57,headsets
1,Public Utilities,0.57,engery
2,Public Utilities,0.0,nation
2,Public Utilities,0.0,investor
1,Public Utilities,0.36,name
1,Public Utilities,0.28,university
1,Public Utilities,0.18,capability
1,Public Utilities,0.57,nyiso
1,Public Utilities,0.57,financial
5,Public Utilities,0.9,generation
22,Public Utilities,0.0,energy
3,Public Utilities,0.86,plant
1,Public Utilities,0.57,bluetooth
5,Public Utilities,0.0,operation
1,Public Utilities,0.57,dynergy
1,Public Utilities,0.28,event
7,Public Utilities,0.0,network
1,Public Utilities,0.28,semiconductor
2,Public Utilities,0.0,safety
7,Public Utilities,2.01,internet
1,Public Utilities,0.28,print
2,Public Utilities,0.0,fiber
2,Public Utilities,1.15,wisconsin
2,Public Utilities,0.36,telecommunication
1,Public Utilities,0.36,california
1,Public Utilities,0.18,york
1,Public Utilities,0.57,dispatcher
1,Public Utilities,0.0,card
1,Public Utilities,0.57,organic
1,Public Utilities,0.57,cadiz
1,Public Utilities,0.36,route
1,Public Utilities,0.18,place
1,Public Utilities,0.57,serivce
1,Public Utilities,0.18,revenue
1,Public Utilities,0.36,municipality
1,Public Utilities,0.36,preservation
1,Public Utilities,0.18,array
1,Public Utilities,0.57,clarity
4,Public Utilities,0.0,quality
1,Public Utilities,0.36,townhome
6,Public Utilities,0.0,management
27,Public Utilities,0.0,service
2,Public Utilities,0.0,system
1,Public Utilities,0.57,regulation
1,Public Utilities,0.18,station
1,Public Utilities,0.28,master
1,Public Utilities,0.57,farming
1,Public Utilities,0.57,hydropower
3,Public Utilities,0.54,option
1,Public Utilities,0.36,compressor
1,Public Utilities,0.0,part
3,Public Utilities,1.72,distance
1,Public Utilities,0.0,financing
1,Public Utilities,0.18,project
1,Public Utilities,0.18,video
1,Public Utilities,0.57,backflow
1,Public Utilities,0.18,partnership
1,Public Utilities,0.28,mine
1,Public Utilities,0.57,latency
1,Public Utilities,0.57,microphone
3,Public Utilities,0.0,storage
4,Public Utilities,0.0,equipment
1,Public Utilities,0.36,emphasis
2,Public Utilities,0.0,performance
1,Public Utilities,0.57,channel
1,Public Utilities,0.57,headset
1,Public Utilities,0.0,price
2,Public Utilities,0.36,shareholder
5,Public Utilities,0.0,plan
1,Public Utilities,0.18,device
1,Public Utilities,0.28,payment
2,Public Utilities,0.72,colocation
1,Public Utilities,0.0,sale
1,Public Utilities,0.28,pipe
3,Public Utilities,0.86,enterprise
2,Public Utilities,0.0,professional
1,Public Utilities,0.0,consumer
1,Public Utilities,0.36,selection
1,Public Utilities,0.57,greenhouse
2,Public Utilities,0.36,texa
1,Public Utilities,0.57,maine
1,Public Utilities,0.57,minnesota
3,Public Utilities,0.0,employee
1,Public Utilities,0.57,rankine
1,Public Utilities,0.57,califonia
2,Public Utilities,0.36,television
1,Public Utilities,0.18,report
2,Public Utilities,0.0,resource
1,Public Utilities,0.57,deferral
1,Public Utilities,0.18,fuel
1,Public Utilities,0.18,vision
1,Public Utilities,0.57,kardinya
3,Public Utilities,0.0,testing
1,Public Utilities,0.18,computer
2,Public Utilities,0.57,innovator
4,Public Utilities,0.72,capacity
3,Public Utilities,0.0,state
3,Public Utilities,1.08,email
1,Public Utilities,0.57,conferencing
2,Public Utilities,0.0,infrastructure
1,Public Utilities,0.57,chlorination
1,Public Utilities,0.57,premise
3,Public Utilities,0.0,news
1,Public Utilities,0.36,substation
1,Public Utilities,0.57,climate
2,Public Utilities,1.15,tablet
1,Public Utilities,0.57,license
2,Public Utilities,0.36,region
1,Public Utilities,0.18,contract
3,Public Utilities,0.0,supply
2,Public Utilities,1.15,battery
1,Public Utilities,0.36,overview
1,Public Utilities,0.57,vdsl
1,Public Utilities,0.57,earwear
1,Public Utilities,0.57,initiative
1,Public Utilities,0.28,carbon
1,Public Utilities,0.57,conference
1,Public Utilities,0.36,billing
1,Public Utilities,0.36,west
1,Public Utilities,0.18,maintenance
4,Public Utilities,1.45,waste
3,Public Utilities,0.0,life
1,Public Utilities,0.18,premier
1,Public Utilities,0.57,convert
4,Public Utilities,1.15,demand
2,Public Utilities,0.57,sound
1,Public Utilities,0.36,bill
2,Public Utilities,0.0,value
1,Public Utilities,0.57,batterie
1,Public Utilities,0.36,optimization
2,Public Utilities,0.36,fleet
3,Public Utilities,0.86,voice
1,Public Utilities,0.0,mexico
1,Public Utilities,0.36,calculator
3,Public Utilities,1.08,telephone
1,Public Utilities,0.0,surface
1,Public Utilities,0.0,partner
2,Public Utilities,0.0,technology
2,Public Utilities,0.72,productivity
1,Public Utilities,0.57,grant
1,Public Utilities,0.0,media
1,Public Utilities,0.57,speech
1,Public Utilities,0.57,containerized
4,Public Utilities,0.0,development
1,Public Utilities,0.18,satellite
1,Public Utilities,0.36,optic
1,Public Utilities,0.28,footprint
1,Public Utilities,0.36,cycle
1,Public Utilities,0.57,vermont
4,Public Utilities,0.0,center
1,Public Utilities,0.28,builder
1,Public Utilities,0.36,ocean
2,Public Utilities,0.57,contact
3,Public Utilities,0.86,recycling
1,Public Utilities,0.57,cdzi
1,Public Utilities,0.0,money
1,Public Utilities,0.57,photonic
1,Public Utilities,0.57,flywheel
3,Public Utilities,1.72,bandwidth
1,Public Utilities,0.36,voltage
3,Public Utilities,0.0,alternative
5,Public Utilities,0.9,speed
3,Public Utilities,0.54,generator
3,Public Utilities,0.0,application
1,Public Utilities,0.28,point
1,Public Utilities,0.36,improvement
2,Public Utilities,0.0,source
1,Public Utilities,0.57,perth
2,Public Utilities,0.57,treatment
1,Public Utilities,0.57,australia
2,Public Utilities,0.72,grid
2,Public Utilities,0.0,community
2,Public Utilities,0.0,world
1,Public Utilities,0.57,satisfaction
1,Public Utilities,0.57,greeting
2,Public Utilities,1.15,groundwater
1,Public Utilities,0.0,right
2,Public Utilities,0.57,deal
2,Public Utilities,0.0,people
1,Public Utilities,0.57,competition
7,Public Utilities,0.0,home
1,Public Utilities,0.28,transport
1,Public Utilities,0.28,scale
3,Public Utilities,0.86,broadband
2,Public Utilities,0.57,integration
1,Public Utilities,0.28,microwave
1,Public Utilities,0.28,pioneer
3,Public Utilities,0.0,market
10,Public Utilities,0.0,provider
1,Public Utilities,0.0,leader
11,Public Utilities,0.0,power
1,Public Utilities,0.0,processing
1,Public Utilities,0.36,corp
2,Public Utilities,0.0,manufacturer
1,Public Utilities,0.57,plug
1,Public Utilities,0.18,pipeline
1,Public Utilities,0.28,package
2,Public Utilities,0.0,industry
2,Public Utilities,0.57,carrier
1,Public Utilities,0.18,processor
2,Public Utilities,0.0,software
1,Public Utilities,0.57,duke
5,Public Utilities,0.9,communication
8,Public Utilities,1.45,utility
1,Public Utilities,0.18,networking
1,Public Utilities,0.36,compression
2,Public Utilities,0.0,area
1,Public Utilities,0.36,transfer
1,Public Utilities,0.0,custom
4,Public Utilities,1.45,conservation
1,Public Utilities,0.57,suit
1,Public Utilities,0.36,valley
1,Public Utilities,0.57,handsfree
3,Public Utilities,0.0,offering
1,Public Utilities,0.0,offer
1,Public Utilities,0.0,delivery
2,Public Utilities,0.0,construction
1,Public Utilities,0.18,subsidiary
1,Public Utilities,0.57,homeownership
1,Public Utilities,0.57,ecosystem
2,Public Utilities,0.72,official
1,Public Utilities,0.57,paging
3,Public Utilities,0.0,distribution
1,Public Utilities,0.0,expertise
1,Public Utilities,0.0,education
1,Public Utilities,0.18,floor
1,Public Utilities,0.0,corporation
2,Public Utilities,0.72,field
1,Public Utilities,0.57,trash
1,Public Utilities,0.57,outage
1,Public Utilities,0.57,update
4,Public Utilities,2.3,bundle
1,Public Utilities,0.36,restoration
1,Public Utilities,0.36,peak
1,Public Utilities,0.36,coverage
1,Public Utilities,0.57,desert
2,Public Utilities,0.72,land
1,Public Utilities,0.57,wifi
1,Public Utilities,0.57,landfill
1,Public Utilities,0.57,portion
1,Public Utilities,0.18,time
2,Public Utilities,1.15,megawatt
1,Public Utilities,0.36,wastewater
1,Energy,0.46,oilsand
2,Energy,0.46,focus
3,Energy,0.69,mining
1,Energy,0.46,liquification
1,Energy,0.29,electricity
1,Energy,0.29,mower
1,Energy,0.0,program
2,Energy,0.58,presentation
1,Energy,0.29,division
